folder,file,url
ugc,060000000826,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170308/266940812/file/1v2apbae95tU71vaqQIVJeHLSdmn480pDOWNLOAD.mp4?st=UmOvVgXQqRU0NnDUvwqc1w&e=1530875999
ugc,060000000779,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170308/34316545/file/2UaK3cHF1baGTQxSiuY52HLSdmn480pDOWNLOAD.mp4?st=B8f6atoEd3Kg18yQCzEryw&e=1530875999
ugc,060000000827,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170308/671767782/file/1mP5QJ03teRHrpK5QGMBLUHLSdmn480pDOWNLOAD.mp4?st=SmYnONsNUac1cGZABqxT1Q&e=1530875999
ugc,060000000861,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170308/671771230/file/2EyGvUFcR8hUNSLzc1kXB3HLSdmn480pDOWNLOAD.mp4?st=msa7_HHrZ5IudeHlJXnPQg&e=1530875999
ugc,060000000819,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170308/671771230/file/2T3xIMLOd70pnmdHBgy3XrHLSdmn480pDOWNLOAD.mp4?st=CBM9_oGnkc3Ni8VtLkpPRw&e=1530875999
ugc,060000000819,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170308/671771230/file/39RjW6XDV06XwLketiULjzHLSdmn480pDOWNLOAD.mp4?st=LwEXYdqz5Dyj2REN7YnKfw&e=1530875999
ugc,060000000905,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/105561281/file/17ducDNxV0I9G53thShrgHLSdmn480pDOWNLOAD.mp4?st=e89q7zFQnVeRaZUgn3qTug&e=1530875999
ugc,060000000904,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480118794685/file/3GddBPsW1cnUIlYIp2OrIHLSdmn480pDOWNLOAD.mp4?st=UCRP9EmhG4hUG4fkgksBYg&e=1530875999
ugc,060000000878,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480118794685/file/3GMP4UTDFaVqh3gCIcJUDHLSdmn480pDOWNLOAD.mp4?st=HaHlRKP2zs2k3BDfadt4zg&e=1530875999
ugc,060000000901,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480118794685/file/3Vx8jLIAR7dUgSq26vVOzQHLSdmn480pDOWNLOAD.mp4?st=rVVpXAb-cQ2vbCJbE2GHpA&e=1530875999
ugc,060000000887,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480128602255/file/3smQ18IchaUHstHKMZuakpHLSdmn480pDOWNLOAD.mp4?st=XjOOv7Eq6lF_hXqWY-vp1A&e=1530875999
ugc,060000000921,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480128978319/file/0Fw631C755FECJSbnk8jzIHLSdmn480pDOWNLOAD.mp4?st=GRLKrdVskMWH3uJRht47ag&e=1530875999
ugc,060000000882,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480128978319/file/13xo0O3LF5qII5BHSgunDHLSdmn480pDOWNLOAD.mp4?st=n0VkVqtmeTpbM9tOCKnOvw&e=1530875999
ugc,060000000884,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480128978319/file/3uF6dk9bRcWqdg3muC326THLSdmn480pDOWNLOAD.mp4?st=QCvIvH0IuTuw0BpuoR3Hdg&e=1530875999
ugc,060000000856,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/08WZSKcatfN81WkqKgtgpHLSdmn480pDOWNLOAD.mp4?st=LbXvlMGw7LpUk6Pl6W3w6w&e=1530875999
ugc,060000000881,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/0UMaYWy6p7AULTA2CT6XWHLSdmn480pDOWNLOAD.mp4?st=vW6iz50kOcGDaqrWrWdthQ&e=1530875999
ugc,060000000834,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/0YrMLqMt54OUdVt9gv5AOHLSdmn480pDOWNLOAD.mp4?st=Xyd_j9_gfJxuNSehf093ZA&e=1530875999
ugc,060000000852,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/1S35aNBzZciGDmhq2Wie8yHLSdmn480pDOWNLOAD.mp4?st=XR8YjguDLuBst35s1N2ItQ&e=1530875999
ugc,060000000857,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/1xshGpOLJccEQ6dfYPQUbzHLSdmn480pDOWNLOAD.mp4?st=Uxm1kGAfFpMKBjOYt1AjOw&e=1530875999
ugc,060000000836,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/29wNhGPx5bpHpXvzDT1fbMHLSdmn480pDOWNLOAD.mp4?st=ugjWVNp9LQkXwShGgzX1Kg&e=1530875999
ugc,060000000838,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/2CtZD7JMBc4pf2oEV9PZ6OHLSdmn480pDOWNLOAD.mp4?st=jduN-q7McKqWIJNw6Wt__w&e=1530875999
ugc,060000000872,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/2nU5V7XM94tFlS4SV8YRlDHLSdmn480pDOWNLOAD.mp4?st=MP_GbEZrn3V3s_am6h_pfw&e=1530875999
ugc,060000000859,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/2vEojrsfR3YqJSbVDc6VdHLSdmn480pDOWNLOAD.mp4?st=UtbVranIHoDb47lIAKJTiA&e=1530875999
ugc,060000000880,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/35vydM98dc2qatGtjCWmazHLSdmn480pDOWNLOAD.mp4?st=nDG7REe-wppgEzqx1tXM1w&e=1530875999
ugc,060000000875,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/3fDpGziM52CGp7EaA8Wi9cHLSdmn480pDOWNLOAD.mp4?st=C2xUi1-ZcjBf9kKghMxpKg&e=1530875999
ugc,060000000850,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/3iYI0bZGd7TahCfQ6MchmlHLSdmn480pDOWNLOAD.mp4?st=V5XQIYXhqD39uZzy6lYFUQ&e=1530875999
ugc,060000000871,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/1480138980084/file/3zxkkGdB7CUeRK7oe1oEHLSdmn480pDOWNLOAD.mp4?st=5ayN3IqmPhJL-VRhYxWIsg&e=1530875999
ugc,090000007665,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/27497999/file/09Rsdtu5d2QoJH4RyTva9KHLSdmn480pDOWNLOAD.mp4?st=cLz7i3cvacnQjQuvl8ieOg&e=1530875999
ugc,090000007665,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/27497999/file/0a2eTJPEh4ybsVBU8C0qHLSdmn480pDOWNLOAD.mp4?st=7O8EtvleBEUWHW188ldeaw&e=1530875999
ugc,090000008351,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/27497999/file/0cmf99Fp16kpm9DCoE5FhKHLSdmn480pDOWNLOAD.mp4?st=yzDFXZqstkOx9z-aFcWx1g&e=1530875999
ugc,090000007665,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/27497999/file/0FfXlQcDZ6ZVq4jnRV1fn2HLSdmn480pDOWNLOAD.mp4?st=Lgh0bCpILjofYK2ogLVmcw&e=1530875999
ugc,090000007665,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/27497999/file/2tKF0EtIp1OEwVcEoheysHLSdmn480pDOWNLOAD.mp4?st=2hkHqqTWqgkd9dLe1XIymw&e=1530875999
ugc,060000000863,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/459164716/file/1dk9dZUQp9I8EIb4HOsd90HLSdmn480pDOWNLOAD.mp4?st=F-OK49qJIG5cURGdEaTq2w&e=1530875999
ugc,060000000865,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/459164716/file/2Mki7q2I92QFA3loE0peT5HLSdmn480pDOWNLOAD.mp4?st=GNnkg21g5f4gbtgzNoMrHA&e=1530875999
ugc,060000000833,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/459164716/file/3Geqk31hcGEYpWyHaFHgwHLSdmn480pDOWNLOAD.mp4?st=Y4nwzTsTfvZGcu8GouPeTw&e=1530875999
ugc,060000000832,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/671771230/file/25zdpVzhcW8glNhaClCphHLSdmn480pDOWNLOAD.mp4?st=XtoC0ijPYHdBSNgUj8Ef4A&e=1530875999
ugc,060000000846,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/96705495/file/0r3c9xkfZdt85EzMNhSaxhHLSdmn480pDOWNLOAD.mp4?st=1OPjeQ63FcVxvXm1VFPmRg&e=1530875999
ugc,060000000846,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/96705495/file/1rt4G4r9R59pATphzDn1e1HLSdmn480pDOWNLOAD.mp4?st=kXVFOpnfBythlHC8Cj__Lw&e=1530875999
ugc,060000000846,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/96705495/file/3NvZNDA0ZdbqAugsRMig2THLSdmn480pDOWNLOAD.mp4?st=Ttdtp3hy-9u8qAEhsSnJpQ&e=1530875999
ugc,060000000551,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170309/96705495/file/3xpThecFZ5ZXFjeuWZ3LwHLSdmn480pDOWNLOAD.mp4?st=gKXJovi63rtfz8isTiMrWQ&e=1530875999
ugc,060000000930,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/1480128387315/file/3fVBT589V0Sq2oqizjEOLZHLSdmn480pDOWNLOAD.mp4?st=D1q_HYdnRx-fDwfDp7oy1A&e=1530875999
ugc,090000008277,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/27497999/file/0OM0wLHdaDppgvybCYRTlHLSdmn480pDOWNLOAD.mp4?st=FCTfW_8o4cFydf8DCO-ekQ&e=1530875999
ugc,090000008459,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/27497999/file/17qPagUJd1AUYpjrdfAOhwHLSdmn480pDOWNLOAD.mp4?st=aINQiowO1iVmrDxCPZvuPw&e=1530875999
ugc,090000008459,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/27497999/file/1egMTxwBR1wHS9pfdaI4n0HLSdmn480pDOWNLOAD.mp4?st=4pixmquqwxxIsEmg60zobw&e=1530875999
ugc,090000008459,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/27497999/file/1v2gP86Td8KoEkkNsCMvgtHLSdmn480pDOWNLOAD.mp4?st=vi3U9P-JmpOToJFINXGVnQ&e=1530875999
ugc,090000008459,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/27497999/file/2qbzgPppZfipyJ0ESzr8FRHLSdmn480pDOWNLOAD.mp4?st=C5MygLscqhCaUcQnEaZE0Q&e=1530876000
ugc,090000008459,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/27497999/file/3kmBZgdJbSHqD5VIg8hshHLSdmn480pDOWNLOAD.mp4?st=c9DPtseQ4EeZLI8UC1T7ww&e=1530876000
ugc,060000000910,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/671771230/file/08ldqgO94dGvsC4FnIVYCHLSdmn480pDOWNLOAD.mp4?st=oN5OFZqyttJ1gxE3xznk9A&e=1530876000
ugc,060000000910,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/671771230/file/1UYIBRmDR9vWoZJUqsQY9HLSdmn480pDOWNLOAD.mp4?st=dd9g_gw3CfsH_MW3pU1VrA&e=1530876000
ugc,060000000910,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/671771230/file/3rMS0U2Bt2t9UuxeixmLy7HLSdmn480pDOWNLOAD.mp4?st=CUvmF0J9KEBVfi0cSlcdVA&e=1530876000
ugc,060000000912,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/672019424/file/3nCRTqjnNed8r5AEXrnS9HLSdmn480pDOWNLOAD.mp4?st=VDMXcuoI2Y4mQFvYows20A&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/96705495/file/10tjyI4it3iXU34OWWf8NbHLSdmn480pDOWNLOAD.mp4?st=Z0t4YF28IybpE-_8bg8oRA&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/96705495/file/2DuSbR19N3bVnafVzRCXayHLSdmn480pDOWNLOAD.mp4?st=CJl_eP72LMEKKA8YxI-RrA&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/96705495/file/2HE77haxayFckLJVBinrVHLSdmn480pDOWNLOAD.mp4?st=Jc_DgNJLSSo60p-Pt8xScw&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170310/96705495/file/3fd3z2m6RdZE91O73eKkmlHLSdmn480pDOWNLOAD.mp4?st=pdq1PGzbPV529IymPqT7AA&e=1530876000
ugc,060000000896,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170311/96705495/file/3yyTsbJfldVUShSbg4lpCHLSdmn480pDOWNLOAD.mp4?st=lvBA8B0n_CGw_eSL-fn2Yw&e=1530876000
ugc,060000000917,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170312/1480138897926/file/1ft00ApPZ0wqvUKCRcWERBHLSdmn480pDOWNLOAD.mp4?st=VDr_11zfY-hhLu3LrHrC1w&e=1530876000
ugc,060000000916,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170312/1480138897926/file/1OaG9sLFdEVn9K1BkLlhHLSdmn480pDOWNLOAD.mp4?st=wr-OgNo4pbZKvGMZ6tBHjw&e=1530876000
ugc,060000000984,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/105561281/file/1IO2nZZcl3jEPBT7zx0kHLSdmn480pDOWNLOAD.mp4?st=LlBNrqp2Q4RuIXIg4f44RA&e=1530876000
ugc,060000000944,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480134036274/file/0T0HpZlQlebHa3PdU1fj3HLSdmn480pDOWNLOAD.mp4?st=z9cc99Nfuymx3t8z8EfSOA&e=1530876000
ugc,060000000977,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/0GY8Chb8VeLqYkej0jobOvHLSdmn480pDOWNLOAD.mp4?st=tSWDDL4z07EA_W7DoXUCWw&e=1530876000
